Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Thesis,507,7T,740924,M,LFD,SIX,12,386,1.632124352,1.683937824,0.932642487,1.6935,81,11925,46,9,5,9,10,27
Thesis,559,7T,740953,M,HFD,SIX,9,427,4.613583138,4.192037471,2.505854801,2.2805,107,14557.5,48,2,10,6,7,22
Thesis,515,7T,740983,M,HFD,SIX,12,429,4.312354312,3.566433566,2.051282051,3.2415,91,23422.5,8,0,52,7,8,27
Thesis,515,7T,740984,M,LFD,SIX,12,410,2.731707317,2.195121951,1.195121951,1.8905,94,13762.5,55,2,3,16,16,22
Thesis,539,8T,741001,M,HFD,SIX,12,434,5,2.465437788,1.751152074,,84,12330,51,1,8,21,22,18
Thesis,539,8T,741002,M,LFD,SIX,12,426,2.981220657,1.737089202,1.948356808,,88,12127.5,40,9,11,10,11,26
Thesis,509,8T,741021,M,HFD,SIX,9,405,3.012345679,1.234567901,1.061728395,,85,10612.5,44,9,3,28,28,17
Thesis,545,9T,743591,M,HFD,FOUR,8,452,5.066371681,3.407079646,2.345132743,1.3345,82,16305,50,5,5,14,15,14
Thesis,545,9T,743592,M,LFD,FOUR,8,412,2.669902913,2.597087379,1.626213592,0.8955,76,14610,55,3,2,12,13,18
Thesis,523,9T,743612,M,HFD,FOUR,9,329,2.249240122,1.70212766,0.911854103,0.997,86,13057.5,32,2,26,12,13,28
Thesis,523,9T,743613,M,LFD,FOUR,9,356,2.078651685,1.54494382,1.207865169,1.785,88,12375,57,3,0,16,17,30
Thesis,520,9T,743622,M,HFD,FOUR,11,412,3.810679612,2.694174757,1.723300971,1.9245,104,15547.5,27,5,27,9,10,28
Thesis,520,9T,743623,M,LFD,FOUR,11,399,1.453634085,0.927318296,0.877192982,1.235,80,10875,52,4,4,12,12,22
Thesis,561,9T,743632,M,HFD,FOUR,11,384,2.447916667,1.692708333,1.119791667,0.7315,84,13582.5,50,7,2,13,14,26
Thesis,561,9T,743633,M,LFD,FOUR,11,332,2.138554217,1.204819277,1.234939759,0.7175,70,14370,45,7,6,8,9,26
Thesis,606,9T,743681,M,HFD,FOUR,10,353,2.379603399,1.246458924,1.246458924,0.613,76,12855,54,4,2,6,7,24
Thesis,606,9T,743682,M,LFD,FOUR,10,313,1.150159744,1.182108626,0.798722045,,71,15600,58,1,1,9,10,34
Thesis,518,9T,743741,M,HFD,FOUR,10,452,2.168141593,1.814159292,1.216814159,0.8625,83,14010,53,3,4,14,15,23
Thesis,518,9T,743742,M,LFD,FOUR,10,392,2.551020408,1.862244898,1.607142857,1.078,87,13530,57,1,2,18,19,24
Thesis,512,10T,743911,M,HFD,FOUR,3,397,2.972292191,2.544080605,1.738035264,0.964,63,11707.5,50,1,9,11,12,26
Thesis,512,10T,743913,M,LFD,FOUR,3,339,2.625368732,2.005899705,1.356932153,0.6085,66,10237.5,58,0,2,18,19,26
Thesis,538,10T,743921,M,HFD,FOUR,9,398,3.417085427,2.386934673,1.381909548,1.0895,91,15060,35,1,24,12,13,19
Thesis,538,10T,743922,M,LFD,FOUR,9,445,3.056179775,2.08988764,1.887640449,1.757,84,12705,50,1,9,19,19,20
Thesis,543,10T,743931,M,HFD,FOUR,12,347,2.737752161,2.593659942,1.613832853,1.464,87,12502.5,48,10,2,5,6,31
Thesis,543,10T,743932,M,LFD,FOUR,12,348,1.867816092,1.752873563,1.120689655,0.5045,72,9630,53,2,5,19,20,19
Thesis,528,10T,743941,M,HFD,FOUR,7,338,3.579881657,2.75147929,1.538461538,1.3755,73,13237.5,6,0,54,13,13,10
Thesis,528,10T,743942,M,LFD,FOUR,7,388,2.628865979,2.036082474,1.469072165,1.606,79,13672.5,47,11,2,2,3,30
Thesis,553,10T,743951,M,HFD,FOUR,9,457,3.347921225,2.997811816,1.750547046,1.6265,89,15442.5,49,11,0,8,9,22
Thesis,553,10T,743952,M,LFD,FOUR,9,368,2.309782609,1.983695652,1.684782609,2.1335,84,11482.5,46,4,10,12,13,21
Thesis,560,10T,744021,M,HFD,FOUR,10,341,2.668621701,1.700879765,1.143695015,1.6745,79,13762.5,56,2,1,24,25,17
Thesis,560,10T,744022,M,LFD,FOUR,10,395,2.202531646,1.46835443,1.265822785,0.9345,87,15585,53,4,3,14,15,21
Thesis,630,11T,745531,M,HFD,FOUR,13,449,,,,,91,16747.5,57,0,3,10,11,35
Thesis,630,11T,745532,M,LFD,FOUR,13,350,,,,,77,12112.5,48,5,7,29,30,10
Thesis,635,11T,745541,M,HFD,FOUR,12,346,,,,,99,13417.5,44,7,9,5,6,28
Thesis,635,11T,745542,M,LFD,FOUR,12,291,,,,,84,13147.5,54,5,1,17,18,26
Thesis,665,11T,745551,M,HFD,FOUR,9,404,,,,,83,17220,43,1,16,14,15,14
Thesis,665,11T,745552,M,LFD,FOUR,9,385,,,,,85,12742.5,45,0,15,25,26,9
Thesis,634,11T,745561,M,HFD,FOUR,13,315,,,,,68,14040,55,0,5,9,10,22
Thesis,634,11T,745562,M,LFD,FOUR,13,291,,,,,69,11430,55,1,4,15,16,23
Thesis,641,11T,745571,M,HFD,FOUR,10,456,,,,,98,14040,24,0,36,16,16,19
Thesis,641,11T,745572,M,LFD,FOUR,10,397,,,,,73,11782.5,57,0,3,10,11,29
Thesis,721,11T,745613,M,HFD,FOUR,10,347,,,,,83,12225,50,3,5,12,13,24
Thesis,721,11T,745614,M,LFD,FOUR,10,374,,,,,74,10680,49,0,11,13,14,30
Thesis,625,12T,745881,M,HFD,FOUR,12,389,,,,1.106,90,12735,53,2,5,19,20,9
Thesis,625,12T,745882,M,LFD,FOUR,12,380,,,,0.675,83,11220,50,0,10,11,12,23
Thesis,654,12T,745891,M,HFD,FOUR,12,426,,,,2.082,103,17220,51,7,2,27,27,13
Thesis,654,12T,745892,M,LFD,FOUR,12,406,,,,1.342,79,13305,46,1,13,9,10,26
