Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Thesis,441,5T,738294,F,LFD,SIX,11,9.507180382212729,5.429345628954441,0.5589862629690119,4.430816798843313,NA,2304,2.0794415416798357,2.23606797749979,1.6094379124341003,1.791759469228055,28,-1
Thesis,428,5T,738574,F,LFD,SIX,8,9.262790496977102,5.3981627015177525,0.7801585576329083,4.219507705176107,0.4393176527297759,2601,2.1972245773362196,1,2.0794415416798357,2.1972245773362196,29,-1
Thesis,555,5T,738374,F,LFD,SIX,12,9.1958356857733,5.209486152841421,0.8873031951773733,4.219507705176107,0.5113707070218239,169,0,6.855654600401044,2.3978952727983707,2.4849066497880004,37,-1
Thesis,461,5T,738504,F,LFD,SIX,11,9.397110353176034,5.5134287461649825,0.7766097579609619,4.23410650459726,1.4834082378091338,3364,0,1.4142135623730951,1.791759469228055,1.9459101490553132,33,-1
Thesis,433,5T,738334,F,LFD,SIX,9,9.163353580751846,5.501258210544727,0.5042466527174532,4.07753744390572,NA,1936,2.0794415416798357,2.8284271247461903,2.6390573296152584,2.70805020110221,30,-1
Thesis,449,5T,738494,F,LFD,SIX,10,9.437953917961844,5.365976015021851,0.8592980042133758,4.2626798770413155,NA,2304,0.6931471805599453,3.3166247903554,2.0794415416798357,2.1972245773362196,29,-1
Thesis,436,6T,738712,F,LFD,SIX,3,9.25349564229011,5.537334267018537,1.0500197334727381,4.2626798770413155,0.8994442728707543,144,0,6.928203230275509,1.9459101490553132,2.0794415416798357,33,-1
Thesis,425,6T,738684,F,LFD,SIX,13,9.499908165338175,5.438079308923196,0.23270468485577048,4.219507705176107,0.9052623929005336,2500,1.9459101490553132,2,3.295836866004329,3.295836866004329,12,-1
Thesis,412,6T,738544,F,LFD,SIX,7,9.31004995112516,5.41610040220442,0.45765086136913014,4.219507705176107,NA,2601,0,3,1.9459101490553132,2.0794415416798357,30,-1
Thesis,455,6T,738594,F,LFD,SIX,13,9.305286849285137,5.332718793265369,0.8163094651901419,4.219507705176107,NA,1600,1.0986122886681098,3.4641016151377544,2.3978952727983707,2.4849066497880004,24,-1
Thesis,414,6T,738604,F,LFD,SIX,6,9.574531994768572,5.459585514144159,0.7472144017775895,4.406719247264253,0.744983221287567,2601,1.6094379124341003,2.23606797749979,2.4849066497880004,2.5649493574615367,23,-1
Thesis,430,6T,738694,F,LFD,SIX,11,9.428350771178645,5.5093883366279774,0.8679882535866293,4.3694478524670215,0.7459892760623306,2304,2.4849066497880004,1,2.772588722239781,2.833213344056216,36,-1
Thesis,559,7T,740956,F,LFD,SIX,9,9.412546252075513,5.332718793265369,1.0623644981046276,4.219507705176107,0.6953416426476987,400,0,6.324555320336759,2.0794415416798357,2.1972245773362196,30,-1
